"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
06000,California,1,Personal income (thousands of dollars),1609997470,1713428004,1814763034,1840885251,1955718006,2097049575,2191138011,2295048653,2411055136,2539747399,2770488779,3019215724,3021645501,3182779295,3400237317
06000,California,2,Population (persons) 1,37322523,37651212,37971412,38292557,38637421,38966939,39223789,39424315,39535920,39547995,39521958,39142565,39142414,39198693,39431263
06000,California,3,Per capita personal income (dollars) 2,43137,45508,47793,48074,50617,53816,55862,58214,60984,64219,70100,77134,77196,81196,86232
06001,"Alameda, CA",1,Personal income (thousands of dollars),72075011,77301332,81435436,85777177,92038123,101231136,108327158,115789437,124671796,134683858,148199107,162177784,163748943,171119975,183486862
06001,"Alameda, CA",2,Population (persons) 1,1513413,1532981,1557493,1584943,1614744,1643103,1661218,1671949,1680392,1683879,1680614,1643856,1635693,1638142,1649060
06001,"Alameda, CA",3,Per capita personal income (dollars) 2,47624,50425,52286,54120,56999,61610,65209,69254,74192,79984,88182,98657,100110,104460,111268
06003,"Alpine, CA",1,Personal income (thousands of dollars),48691,59552,63498,63059,68364,71467,77273,80393,85025,93899,89328,89807,81025,88360,96872
06003,"Alpine, CA",2,Population (persons) 1,1164,1105,1132,1160,1122,1128,1110,1183,1157,1198,1179,1203,1169,1126,1099
06003,"Alpine, CA",3,Per capita personal income (dollars) 2,41831,53893,56094,54361,60930,63357,69615,67957,73487,78380,75766,74653,69311,78472,88146
06005,"Amador, CA",1,Personal income (thousands of dollars),1300768,1309908,1325416,1336888,1399961,1481210,1519574,1602167,1660611,1759900,1920057,2063918,2000871,2116519,2256906
06005,"Amador, CA",2,Population (persons) 1,37893,37593,37201,36763,36916,37263,37711,38859,39702,40089,40584,41245,41486,41798,42026
06005,"Amador, CA",3,Per capita personal income (dollars) 2,34327,34844,35629,36365,37923,39750,40295,41230,41827,43900,47311,50040,48230,50637,53703
06007,"Butte, CA",1,Personal income (thousands of dollars),7254896,7394936,7606689,7807319,8138129,8782120,9126674,9423550,9718118,9925301,10793250,11566169,11255350,11828606,12748115
06007,"Butte, CA",2,Population (persons) 1,219883,219639,220257,220755,222355,223198,224502,226704,228059,216181,210222,206351,207384,207354,208334
06007,"Butte, CA",3,Per capita personal income (dollars) 2,32994,33669,34536,35366,36600,39347,40653,41568,42612,45912,51342,56051,54273,57045,61191
06009,"Calaveras, CA",1,Personal income (thousands of dollars),1669670,1689688,1668101,1673573,1759276,1897268,1967729,2060809,2126248,2265563,2454936,2624840,2611368,2749333,2978686
06009,"Calaveras, CA",2,Population (persons) 1,45442,45033,44588,44328,44246,44440,44674,44923,44911,45181,45350,46262,46544,46580,46505
