"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alpine County, CA","06003","2016","2016",0,1071,Unreliable
,"Alpine County, CA","06003","2018","2018",0,1101,Unreliable
,"Alpine County, CA","06003","2011","2011",0,1102,Unreliable
,"Alpine County, CA","06003","2015","2015",0,1110,Unreliable
,"Alpine County, CA","06003","2014","2014",0,1116,Unreliable
,"Alpine County, CA","06003","2020","2020",Suppressed,1119,Suppressed
,"Alpine County, CA","06003","2017","2017",0,1120,Unreliable
,"Alpine County, CA","06003","2012","2012",0,1129,Unreliable
,"Alpine County, CA","06003","2019","2019",Suppressed,1129,Suppressed
,"Alpine County, CA","06003","2013","2013",0,1159,Unreliable
,"Alpine County, CA","06003","2010","2010",0,1175,Unreliable
,"Sierra County, CA","06091","2020","2020",Suppressed,2920,Suppressed
,"Sierra County, CA","06091","2016","2016",0,2947,Unreliable
,"Sierra County, CA","06091","2015","2015",0,2967,Unreliable
,"Sierra County, CA","06091","2018","2018",Suppressed,2987,Suppressed
,"Sierra County, CA","06091","2017","2017",0,2999,Unreliable
,"Sierra County, CA","06091","2014","2014",Suppressed,3003,Suppressed
,"Sierra County, CA","06091","2019","2019",0,3005,Unreliable
,"Sierra County, CA","06091","2013","2013",Suppressed,3047,Suppressed
,"Sierra County, CA","06091","2012","2012",0,3086,Unreliable
,"Sierra County, CA","06091","2011","2011",Suppressed,3113,Suppressed
,"Sierra County, CA","06091","2010","2010",Suppressed,3240,Suppressed
,"Modoc County, CA","06049","2020","2020",0,8763,Unreliable
,"Modoc County, CA","06049","2018","2018",0,8777,Unreliable
,"Modoc County, CA","06049","2016","2016",Suppressed,8795,Suppressed
,"Modoc County, CA","06049","2019","2019",Suppressed,8841,Suppressed
,"Modoc County, CA","06049","2017","2017",Suppressed,8859,Suppressed
,"Modoc County, CA","06049","2015","2015",Suppressed,8965,Suppressed
,"Modoc County, CA","06049","2014","2014",Suppressed,9023,Suppressed
,"Modoc County, CA","06049","2013","2013",Suppressed,9147,Suppressed
,"Modoc County, CA","06049","2012","2012",Suppressed,9327,Suppressed
,"Modoc County, CA","06049","2011","2011",Suppressed,9517,Suppressed
,"Modoc County, CA","06049","2010","2010",Suppressed,9686,Suppressed
,"Trinity County, CA","06105","2020","2020",Suppressed,12216,Suppressed
,"Trinity County, CA","06105","2019","2019",Suppressed,12285,Suppressed
,"Trinity County, CA","06105","2018","2018",Suppressed,12535,Suppressed
,"Trinity County, CA","06105","2017","2017",Suppressed,12709,Suppressed
,"Trinity County, CA","06105","2016","2016",Suppressed,12782,Suppressed
,"Trinity County, CA","06105","2015","2015",Suppressed,13069,Suppressed
,"Trinity County, CA","06105","2014","2014",Suppressed,13170,Suppressed
,"Trinity County, CA","06105","2013","2013",Suppressed,13448,Suppressed
