"Notes","County","County Code","Year","Year Code","Multiple Cause of death","Multiple Cause of death Code","Underlying Cause of death","Underlying Cause of death Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Alameda County, CA","06001","2018","2018","Other opioids","T40.2","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",14,1666753,Unreliable,0.5,1.4,0.2,0.0%
,"Alameda County, CA","06001","2018","2018","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",10,1666753,Unreliable,0.3,1.1,0.2,0.0%
,"Alameda County, CA","06001","2018","2018","Cocaine","T40.5","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",31,1666753,1.9,1.3,2.6,0.3,0.0%
,"Alameda County, CA","06001","2018","2018","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",38,1666753,2.3,1.6,3.1,0.4,0.0%
,"Alameda County, CA","06001","2019","2019","Heroin","T40.1","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",16,1671329,Unreliable,0.5,1.6,0.2,0.0%
,"Alameda County, CA","06001","2019","2019","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,1671329,Unreliable,0.6,1.7,0.3,0.0%
,"Alameda County, CA","06001","2019","2019","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",41,1671329,2.5,1.8,3.3,0.4,0.0%
,"Alameda County, CA","06001","2019","2019","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",15,1671329,Unreliable,0.5,1.5,0.2,0.0%
,"Alameda County, CA","06001","2019","2019","Cocaine","T40.5","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",25,1671329,1.5,1.0,2.2,0.3,0.0%
,"Alameda County, CA","06001","2019","2019","Cocaine","T40.5","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,1671329,Unreliable,0.6,1.7,0.3,0.0%
,"Alameda County, CA","06001","2019","2019","Benzodiazepines","T42.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",19,1671329,Unreliable,0.7,1.8,0.3,0.0%
,"Alameda County, CA","06001","2019","2019","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",37,1671329,2.2,1.6,3.1,0.4,0.0%
,"Alameda County, CA","06001","2019","2019","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",22,1671329,1.3,0.8,2.0,0.3,0.0%
,"Alameda County, CA","06001","2020","2020","Other opioids","T40.2","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",12,1662323,Unreliable,0.4,1.3,0.2,0.0%
,"Alameda County, CA","06001","2020","2020","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,1662323,Unreliable,0.6,1.6,0.2,0.0%
,"Alameda County, CA","06001","2020","2020","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",60,1662323,3.6,2.8,4.6,0.5,0.1%
,"Alameda County, CA","06001","2020","2020","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",60,1662323,3.6,2.8,4.6,0.5,0.1%
,"Alameda County, CA","06001","2020","2020","Cocaine","T40.5","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",20,1662323,1.2,0.7,1.9,0.3,0.0%
,"Alameda County, CA","06001","2020","2020","Cocaine","T40.5","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,1662323,Unreliable,0.6,1.6,0.2,0.0%
,"Alameda County, CA","06001","2020","2020","Benzodiazepines","T42.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",25,1662323,1.5,1.0,2.2,0.3,0.0%
,"Alameda County, CA","06001","2020","2020","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",31,1662323,1.9,1.3,2.6,0.3,0.0%
,"Alameda County, CA","06001","2020","2020","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",42,1662323,2.5,1.8,3.4,0.4,0.0%
,"Alameda County, CA","06001","2021","2021","Heroin","T40.1","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,1648556,Unreliable,0.3,1.2,0.2,0.0%
,"Alameda County, CA","06001","2021","2021","Other opioids","T40.2","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",18,1648556,Unreliable,0.6,1.7,0.3,0.0%
,"Alameda County, CA","06001","2021","2021","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,1648556,Unreliable,0.6,1.7,0.3,0.0%
,"Alameda County, CA","06001","2021","2021","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",86,1648556,5.2,4.2,6.4,0.6,0.1%
,"Alameda County, CA","06001","2021","2021","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",75,1648556,4.5,3.6,5.7,0.5,0.1%
