County Code,County,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
06000,California,1.0,Personal income (dollars),1609997470000.0,1713428004000.0,1814763034000.0,1840885251000.0,1955718006000.0,2097049575000.0,2191138011000.0,2295048653000.0,2411055136000.0,2539747399000.0,2770488779000.0,3019215724000.0,3021645501000.0,3182779295000.0,3400237317000.0
06000,California,2.0,Population (persons),37322523.0,37651212.0,37971412.0,38292557.0,38637421.0,38966939.0,39223789.0,39424315.0,39535920.0,39547995.0,39521958.0,39142565.0,39142414.0,39198693.0,39431263.0
06000,California,3.0,Per capita personal income (dollars),43137.0,45508.0,47793.0,48074.0,50617.0,53816.0,55862.0,58214.0,60984.0,64219.0,70100.0,77134.0,77196.0,81196.0,86232.0
06001,"Alameda, CA",1.0,Personal income (dollars),72075011000.0,77301332000.0,81435436000.0,85777177000.0,92038123000.0,101231136000.0,108327158000.0,115789437000.0,124671796000.0,134683858000.0,148199107000.0,162177784000.0,163748943000.0,171119975000.0,183486862000.0
06001,"Alameda, CA",2.0,Population (persons),1513413.0,1532981.0,1557493.0,1584943.0,1614744.0,1643103.0,1661218.0,1671949.0,1680392.0,1683879.0,1680614.0,1643856.0,1635693.0,1638142.0,1649060.0
06001,"Alameda, CA",3.0,Per capita personal income (dollars),47624.0,50425.0,52286.0,54120.0,56999.0,61610.0,65209.0,69254.0,74192.0,79984.0,88182.0,98657.0,100110.0,104460.0,111268.0
06003,"Alpine, CA",1.0,Personal income (dollars),48691000.0,59552000.0,63498000.0,63059000.0,68364000.0,71467000.0,77273000.0,80393000.0,85025000.0,93899000.0,89328000.0,89807000.0,81025000.0,88360000.0,96872000.0
06003,"Alpine, CA",2.0,Population (persons),1164.0,1105.0,1132.0,1160.0,1122.0,1128.0,1110.0,1183.0,1157.0,1198.0,1179.0,1203.0,1169.0,1126.0,1099.0
06003,"Alpine, CA",3.0,Per capita personal income (dollars),41831.0,53893.0,56094.0,54361.0,60930.0,63357.0,69615.0,67957.0,73487.0,78380.0,75766.0,74653.0,69311.0,78472.0,88146.0
06005,"Amador, CA",1.0,Personal income (dollars),1300768000.0,1309908000.0,1325416000.0,1336888000.0,1399961000.0,1481210000.0,1519574000.0,1602167000.0,1660611000.0,1759900000.0,1920057000.0,2063918000.0,2000871000.0,2116519000.0,2256906000.0
06005,"Amador, CA",2.0,Population (persons),37893.0,37593.0,37201.0,36763.0,36916.0,37263.0,37711.0,38859.0,39702.0,40089.0,40584.0,41245.0,41486.0,41798.0,42026.0
06005,"Amador, CA",3.0,Per capita personal income (dollars),34327.0,34844.0,35629.0,36365.0,37923.0,39750.0,40295.0,41230.0,41827.0,43900.0,47311.0,50040.0,48230.0,50637.0,53703.0
06007,"Butte, CA",1.0,Personal income (dollars),7254896000.0,7394936000.0,7606689000.0,7807319000.0,8138129000.0,8782120000.0,9126674000.0,9423550000.0,9718118000.0,9925301000.0,10793250000.0,11566169000.0,11255350000.0,11828606000.0,12748115000.0
06007,"Butte, CA",2.0,Population (persons),219883.0,219639.0,220257.0,220755.0,222355.0,223198.0,224502.0,226704.0,228059.0,216181.0,210222.0,206351.0,207384.0,207354.0,208334.0
